recall,precision,method
1.0,0.2777777777777778,FedTROS-PR
1.0,0.277788066224675,FedTROS-PR
1.0,0.27785495971103086,FedTROS-PR
0.9998,0.2778971945298892,FedTROS-PR
0.9998,0.2780002224446669,FedTROS-PR
0.9998,0.27808785625544696,FedTROS-PR
0.9998,0.2781755453331355,FedTROS-PR
0.9996666666666667,0.2784586815227484,FedTROS-PR
0.9996666666666667,0.278500055718584,FedTROS-PR
0.9996666666666667,0.2785673150160694,FedTROS-PR
0.9996,0.2786419133634387,FedTROS-PR
0.9996,0.27864709161865825,FedTROS-PR
0.9995333333333334,0.2787269245784611,FedTROS-PR
0.9994666666666666,0.27884311354970703,FedTROS-PR
0.9994666666666666,0.27888979834809136,FedTROS-PR
0.9994666666666666,0.2789364987813273,FedTROS-PR
0.9994666666666666,0.2789468787794213,FedTROS-PR
0.9994666666666666,0.2790039825808613,FedTROS-PR
0.9994666666666666,0.27911306387652896,FedTROS-PR
0.9994666666666666,0.279159839118129,FedTROS-PR
0.9994666666666666,0.2791806331471136,FedTROS-PR
0.9994666666666666,0.2791858321384011,FedTROS-PR
0.9994,0.2792348098200648,FedTROS-PR
0.9994,0.2792868321037335,FedTROS-PR
0.9994,0.27934407900866487,FedTROS-PR
0.9994,0.2793649018840499,FedTROS-PR
0.9994,0.27945343374841547,FedTROS-PR
0.9994,0.27947948321184213,FedTROS-PR
0.9994,0.2794846936873112,FedTROS-PR
0.9994,0.2795420217427788,FedTROS-PR
0.9994,0.27956808772518743,FedTROS-PR
0.9993333333333333,0.2796433102007313,FedTROS-PR
0.9993333333333333,0.2796954883009292,FedTROS-PR
0.9993333333333333,0.27977901377431036,FedTROS-PR
0.9993333333333333,0.279826018779518,FedTROS-PR
0.9993333333333333,0.27990962224338506,FedTROS-PR
0.9993333333333333,0.27996189978148406,FedTROS-PR
0.9993333333333333,0.2799880458739587,FedTROS-PR
0.9993333333333333,0.279998505678422,FedTROS-PR
0.9992,0.28001868285847736,FedTROS-PR
0.9991333333333333,0.28002615844544093,FedTROS-PR
0.9991333333333333,0.2800837242333065,FedTROS-PR
0.9991333333333333,0.28009942810152133,FedTROS-PR
0.9990666666666667,0.2801488045164788,FedTROS-PR
0.9990666666666667,0.28021690351533285,FedTROS-PR
0.999,0.28020344434263916,FedTROS-PR
0.9988666666666667,0.2802813476251941,FedTROS-PR
0.9988666666666667,0.28043348057198475,FedTROS-PR
0.9988666666666667,0.28045447738843965,FedTROS-PR
0.9988666666666667,0.28057001610426574,FedTROS-PR
0.9988666666666667,0.2806278211683617,FedTROS-PR
0.9988,0.2806406293902782,FedTROS-PR
0.9986,0.28078429902337526,FedTROS-PR
0.9984,0.28094925429134227,FedTROS-PR
0.9984,0.28098615332657884,FedTROS-PR
0.9984,0.2810072428415957,FedTROS-PR
0.9984,0.2810810810810811,FedTROS-PR
0.9984,0.28108635672591453,FedTROS-PR
0.9984,0.28119191122627163,FedTROS-PR
0.9984,0.2812288740329002,FedTROS-PR
0.9983333333333333,0.2812312199519231,FedTROS-PR
0.9983333333333333,0.2812681955635694,FedTROS-PR
0.9983333333333333,0.2813051808994252,FedTROS-PR
0.9983333333333333,0.2813633203690134,FedTROS-PR
0.9982666666666666,0.28142384603818976,FedTROS-PR
0.9982666666666666,0.28142913526415697,FedTROS-PR
0.9982,0.2814632404082937,FedTROS-PR
0.9981333333333333,0.28150794396916423,FedTROS-PR
0.9981333333333333,0.28155029430016737,FedTROS-PR
0.998,0.2817405051379531,FedTROS-PR
0.998,0.2817458076901361,FedTROS-PR
0.998,0.2817670198949726,FedTROS-PR
0.998,0.2817882352941177,FedTROS-PR
0.9978666666666667,0.28188323917137476,FedTROS-PR
0.9978666666666667,0.28189385664243477,FedTROS-PR
0.9978666666666667,0.28190447491336446,FedTROS-PR
0.9978666666666667,0.28202132871085656,FedTROS-PR
0.9978666666666667,0.28203727082587476,FedTROS-PR
0.9976,0.28201503929439703,FedTROS-PR
0.9976,0.2820416164053076,FedTROS-PR
0.9976,0.282057565076433,FedTROS-PR
0.9975333333333334,0.28204403227022545,FedTROS-PR
0.9974666666666666,0.28214750419581736,FedTROS-PR
0.9974666666666666,0.2821634669784634,FedTROS-PR
0.9974666666666666,0.2821900756304106,FedTROS-PR
0.9974666666666666,0.282259281617869,FedTROS-PR
0.9974666666666666,0.28226460656139757,FedTROS-PR
0.9972,0.28231696959402075,FedTROS-PR
0.9971333333333333,0.2823194095773797,FedTROS-PR
0.9971333333333333,0.2823247385707275,FedTROS-PR
0.9971333333333333,0.2823300677652566,FedTROS-PR
0.9971333333333333,0.28239936560682727,FedTROS-PR
0.9971333333333333,0.2824260276817916,FedTROS-PR
0.9971333333333333,0.28247936693799697,FedTROS-PR
0.9971333333333333,0.2825594136094004,FedTROS-PR
0.9971333333333333,0.28261280326505933,FedTROS-PR
0.9968666666666667,0.2827348875905232,FedTROS-PR
0.9968666666666667,0.2827402337102447,FedTROS-PR
0.9968666666666667,0.2828044029201498,FedTROS-PR
0.9968666666666667,0.28283114868826725,FedTROS-PR
0.9968666666666667,0.2828793038214151,FedTROS-PR
0.9968,0.2828817920387468,FedTROS-PR
0.9968,0.28288714407340837,FedTROS-PR
0.9966,0.2830070803831737,FedTROS-PR
0.9964666666666666,0.2830388759491753,FedTROS-PR
0.9964666666666666,0.2830656768426634,FedTROS-PR
0.9964666666666666,0.2830763986212643,FedTROS-PR
0.9964666666666666,0.283140746353476,FedTROS-PR
0.9964666666666666,0.28318366109658594,FedTROS-PR
0.9964666666666666,0.2832695296213471,FedTROS-PR
0.9964,0.28330426870877246,FedTROS-PR
0.9964,0.28338484291158683,FedTROS-PR
0.9964,0.283567647561045,FedTROS-PR
0.9962666666666666,0.28362118048965645,FedTROS-PR
0.9962666666666666,0.28362656341930953,FedTROS-PR
0.9962666666666666,0.2836804039560356,FedTROS-PR
0.9962666666666666,0.28369117451639236,FedTROS-PR
0.9962,0.28370989177900136,FedTROS-PR
0.996,0.28382537330445684,FedTROS-PR
0.9959333333333333,0.28387109033557556,FedTROS-PR
0.9959333333333333,0.28389266846566075,FedTROS-PR
0.9959333333333333,0.2839304380879977,FedTROS-PR
0.9959333333333333,0.2840114068441065,FedTROS-PR
0.9956,0.28414323223866966,FedTROS-PR
0.9955333333333334,0.2841566448470087,FedTROS-PR
0.9953333333333333,0.2841914913866946,FedTROS-PR
0.9953333333333333,0.28420231092836884,FedTROS-PR
0.9953333333333333,0.2842455973346026,FedTROS-PR
0.9952666666666666,0.28427526848960316,FedTROS-PR
0.9952666666666666,0.2849154547883507,FedTROS-PR
0.9951333333333333,0.28554758488761356,FedTROS-PR
0.9951333333333333,0.28558036312154433,FedTROS-PR
0.9947333333333334,0.28577174266945016,FedTROS-PR
0.9947333333333334,0.28579363711237527,FedTROS-PR
0.9947333333333334,0.28581006014634336,FedTROS-PR
0.9947333333333334,0.2858538641327254,FedTROS-PR
0.9945333333333334,0.2859004580386746,FedTROS-PR
0.9944,0.28597174025575645,FedTROS-PR
0.9943333333333333,0.28596353317867207,FedTROS-PR
0.9943333333333333,0.28596901602883656,FedTROS-PR
0.9940666666666667,0.2859800537015727,FedTROS-PR
0.994,0.2859992710950837,FedTROS-PR
0.9938666666666667,0.2859938227789821,FedTROS-PR
0.9938666666666667,0.2860157703892715,FedTROS-PR
0.9937333333333334,0.2862245093897615,FedTROS-PR
0.9937333333333334,0.28625748962974346,FedTROS-PR
0.9937333333333334,0.2864665411077372,FedTROS-PR
