fpr,tpr,method
0.0,0.0,FedTROS-PR
0.00023076923076923076,0.00046666666666666666,FedTROS-PR
0.0005897435897435898,0.0028666666666666667,FedTROS-PR
0.0015128205128205128,0.0051333333333333335,FedTROS-PR
0.0016923076923076924,0.0061333333333333335,FedTROS-PR
0.002769230769230769,0.009266666666666666,FedTROS-PR
0.003282051282051282,0.009733333333333333,FedTROS-PR
0.004897435897435898,0.011933333333333334,FedTROS-PR
0.005666666666666667,0.0122,FedTROS-PR
0.00641025641025641,0.0126,FedTROS-PR
0.008743589743589743,0.015933333333333334,FedTROS-PR
0.009384615384615385,0.018266666666666667,FedTROS-PR
0.010282051282051282,0.025933333333333333,FedTROS-PR
0.013153846153846153,0.03506666666666667,FedTROS-PR
0.013307692307692307,0.037333333333333336,FedTROS-PR
0.013948717948717949,0.040266666666666666,FedTROS-PR
0.01558974358974359,0.047933333333333335,FedTROS-PR
0.01558974358974359,0.04806666666666667,FedTROS-PR
0.016,0.049466666666666666,FedTROS-PR
0.01633333333333333,0.05026666666666667,FedTROS-PR
0.018358974358974357,0.058133333333333335,FedTROS-PR
0.01917948717948718,0.0664,FedTROS-PR
0.02033333333333333,0.07453333333333333,FedTROS-PR
0.02117948717948718,0.07986666666666667,FedTROS-PR
0.02130769230769231,0.08133333333333333,FedTROS-PR
0.021666666666666667,0.08413333333333334,FedTROS-PR
0.021743589743589743,0.08453333333333334,FedTROS-PR
0.02205128205128205,0.08533333333333333,FedTROS-PR
0.0221025641025641,0.0856,FedTROS-PR
0.022692307692307692,0.0874,FedTROS-PR
0.023,0.08966666666666667,FedTROS-PR
0.023282051282051283,0.09146666666666667,FedTROS-PR
0.023487179487179488,0.09233333333333334,FedTROS-PR
0.023564102564102563,0.09233333333333334,FedTROS-PR
0.025025641025641025,0.09933333333333333,FedTROS-PR
0.026025641025641026,0.10546666666666667,FedTROS-PR
0.027,0.1096,FedTROS-PR
0.027153846153846153,0.11133333333333334,FedTROS-PR
0.027666666666666666,0.11493333333333333,FedTROS-PR
0.02835897435897436,0.11893333333333334,FedTROS-PR
0.028717948717948718,0.1206,FedTROS-PR
0.029256410256410258,0.1226,FedTROS-PR
0.029461538461538463,0.1234,FedTROS-PR
0.030435897435897436,0.12546666666666667,FedTROS-PR
0.031538461538461536,0.12793333333333334,FedTROS-PR
0.032358974358974356,0.1316,FedTROS-PR
0.03315384615384615,0.13806666666666667,FedTROS-PR
0.03338461538461539,0.14053333333333334,FedTROS-PR
0.0338974358974359,0.14306666666666668,FedTROS-PR
0.03394871794871795,0.14333333333333334,FedTROS-PR
0.034589743589743586,0.14726666666666666,FedTROS-PR
0.03471794871794872,0.14806666666666668,FedTROS-PR
0.035153846153846154,0.1508,FedTROS-PR
0.03517948717948718,0.15146666666666667,FedTROS-PR
0.03761538461538461,0.16186666666666666,FedTROS-PR
0.03776923076923077,0.16233333333333333,FedTROS-PR
0.04038461538461539,0.1714,FedTROS-PR
0.041,0.17373333333333332,FedTROS-PR
0.04258974358974359,0.1788,FedTROS-PR
0.04258974358974359,0.17893333333333333,FedTROS-PR
0.04341025641025641,0.18126666666666666,FedTROS-PR
0.04592307692307692,0.1872,FedTROS-PR
0.046051282051282054,0.18746666666666667,FedTROS-PR
0.046564102564102566,0.19006666666666666,FedTROS-PR
0.04705128205128205,0.196,FedTROS-PR
0.047846153846153844,0.2032,FedTROS-PR
0.048769230769230766,0.211,FedTROS-PR
0.04953846153846154,0.2144,FedTROS-PR
0.04961538461538462,0.2148,FedTROS-PR
0.050487179487179484,0.2216,FedTROS-PR
0.05069230769230769,0.2228,FedTROS-PR
0.05079487179487179,0.2232,FedTROS-PR
0.050923076923076925,0.22366666666666668,FedTROS-PR
0.051076923076923075,0.2254,FedTROS-PR
0.05112820512820513,0.2272,FedTROS-PR
0.051820512820512823,0.2336,FedTROS-PR
0.051897435897435895,0.234,FedTROS-PR
0.052076923076923076,0.23746666666666666,FedTROS-PR
0.052384615384615384,0.23973333333333333,FedTROS-PR
0.05323076923076923,0.24473333333333333,FedTROS-PR
0.053717948717948716,0.24746666666666667,FedTROS-PR
0.05451282051282051,0.2524,FedTROS-PR
0.05458974358974359,0.2528666666666667,FedTROS-PR
0.054948717948717946,0.25593333333333335,FedTROS-PR
0.05523076923076923,0.2584,FedTROS-PR
0.05523076923076923,0.2584666666666667,FedTROS-PR
0.05551282051282051,0.2616,FedTROS-PR
0.055615384615384615,0.26293333333333335,FedTROS-PR
0.056025641025641025,0.2662,FedTROS-PR
0.056102564102564104,0.2668,FedTROS-PR
0.05671794871794872,0.2720666666666667,FedTROS-PR
0.05712820512820513,0.2742,FedTROS-PR
0.057846153846153846,0.27786666666666665,FedTROS-PR
0.057923076923076924,0.27873333333333333,FedTROS-PR
0.05794871794871795,0.27886666666666665,FedTROS-PR
0.05797435897435897,0.27913333333333334,FedTROS-PR
0.05802564102564103,0.27913333333333334,FedTROS-PR
0.058487179487179485,0.2819333333333333,FedTROS-PR
0.0592051282051282,0.2885333333333333,FedTROS-PR
0.05961538461538462,0.2912666666666667,FedTROS-PR
0.059923076923076926,0.29246666666666665,FedTROS-PR
0.060076923076923076,0.2938,FedTROS-PR
0.06061538461538461,0.29646666666666666,FedTROS-PR
0.06148717948717949,0.3006666666666667,FedTROS-PR
0.06202564102564102,0.30633333333333335,FedTROS-PR
0.06241025641025641,0.309,FedTROS-PR
0.06243589743589743,0.30973333333333336,FedTROS-PR
0.06292307692307693,0.3128,FedTROS-PR
0.06297435897435898,0.3128,FedTROS-PR
0.06356410256410257,0.31506666666666666,FedTROS-PR
0.06405128205128205,0.3158,FedTROS-PR
0.06417948717948718,0.3164,FedTROS-PR
0.0645128205128205,0.3178666666666667,FedTROS-PR
0.06497435897435898,0.32006666666666667,FedTROS-PR
0.06574358974358975,0.3246,FedTROS-PR
0.06594871794871796,0.3246,FedTROS-PR
0.06625641025641026,0.3246,FedTROS-PR
0.06648717948717948,0.3246,FedTROS-PR
0.06705128205128205,0.3246,FedTROS-PR
0.0673076923076923,0.3246,FedTROS-PR
0.06733333333333333,0.325,FedTROS-PR
0.06746153846153846,0.3257333333333333,FedTROS-PR
0.06756410256410256,0.3257333333333333,FedTROS-PR
0.06835897435897435,0.32713333333333333,FedTROS-PR
0.06935897435897435,0.3287333333333333,FedTROS-PR
0.06961538461538462,0.3287333333333333,FedTROS-PR
0.06976923076923076,0.3298,FedTROS-PR
0.06987179487179487,0.33193333333333336,FedTROS-PR
0.07030769230769231,0.33526666666666666,FedTROS-PR
0.07033333333333333,0.33573333333333333,FedTROS-PR
0.07035897435897435,0.33613333333333334,FedTROS-PR
0.07038461538461538,0.3368,FedTROS-PR
0.07038461538461538,0.3372,FedTROS-PR
0.07051282051282051,0.33786666666666665,FedTROS-PR
0.07138461538461538,0.34326666666666666,FedTROS-PR
0.07182051282051283,0.3450666666666667,FedTROS-PR
0.07182051282051283,0.34513333333333335,FedTROS-PR
0.07315384615384615,0.3520666666666667,FedTROS-PR
0.07374358974358974,0.3565333333333333,FedTROS-PR
0.07402564102564102,0.35833333333333334,FedTROS-PR
0.07433333333333333,0.36033333333333334,FedTROS-PR
0.07466666666666667,0.3618,FedTROS-PR
0.07466666666666667,0.36186666666666667,FedTROS-PR
0.07487179487179488,0.36206666666666665,FedTROS-PR
0.0752051282051282,0.36293333333333333,FedTROS-PR
0.07541025641025641,0.36406666666666665,FedTROS-PR
0.07546153846153845,0.36473333333333335,FedTROS-PR
0.07582051282051282,0.3661333333333333,FedTROS-PR
0.07592307692307693,0.3666,FedTROS-PR
0.07612820512820513,0.3678,FedTROS-PR
0.07617948717948718,0.3681333333333333,FedTROS-PR
0.07643589743589743,0.369,FedTROS-PR
0.07666666666666666,0.37046666666666667,FedTROS-PR
0.07710256410256411,0.3724,FedTROS-PR
0.07730769230769231,0.3724,FedTROS-PR
0.07741025641025641,0.3724,FedTROS-PR
0.07787179487179487,0.3748,FedTROS-PR
0.0778974358974359,0.3748666666666667,FedTROS-PR
0.07792307692307693,0.3748666666666667,FedTROS-PR
0.07815384615384616,0.3756,FedTROS-PR
